/home/annatruzzi/deepcluster_eval/dc_1/checkpoint0
=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_1/checkpoint_dc1_epoch0.pth.tar'
Loaded
/home/annatruzzi/deepcluster_eval/dc_1/checkpoint0
/home/annatruzzi/deepcluster_eval/dc_1/checkpoint0/log
Successful logger creation
Epoch: [0][0/5005]	Time 4.957 (4.957)	Data 3.411 (3.411)	Loss 6.9150 (6.9150)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][100/5005]	Time 0.051 (0.139)	Data 0.000 (0.071)	Loss 6.8351 (6.8682)	Prec@1 0.000 (0.449)	Prec@5 0.781 (1.825)
Epoch: [0][200/5005]	Time 0.045 (0.126)	Data 0.000 (0.063)	Loss 6.7542 (6.8249)	Prec@1 0.781 (0.579)	Prec@5 2.734 (2.421)
Epoch: [0][300/5005]	Time 0.045 (0.125)	Data 0.000 (0.066)	Loss 6.6818 (6.7871)	Prec@1 1.172 (0.711)	Prec@5 3.906 (2.851)
Epoch: [0][400/5005]	Time 0.071 (0.121)	Data 0.001 (0.062)	Loss 6.6258 (6.7541)	Prec@1 1.562 (0.836)	Prec@5 4.297 (3.247)
Epoch: [0][500/5005]	Time 0.045 (0.118)	Data 0.000 (0.060)	Loss 6.6008 (6.7247)	Prec@1 0.781 (0.959)	Prec@5 3.906 (3.584)
Epoch: [0][600/5005]	Time 0.159 (0.117)	Data 0.114 (0.060)	Loss 6.5259 (6.6985)	Prec@1 1.562 (1.047)	Prec@5 7.031 (3.891)
Epoch: [0][700/5005]	Time 0.045 (0.116)	Data 0.000 (0.060)	Loss 6.5059 (6.6751)	Prec@1 2.344 (1.116)	Prec@5 5.859 (4.127)
Epoch: [0][800/5005]	Time 0.052 (0.115)	Data 0.000 (0.060)	Loss 6.5053 (6.6516)	Prec@1 2.344 (1.222)	Prec@5 7.031 (4.420)
Epoch: [0][900/5005]	Time 0.045 (0.116)	Data 0.000 (0.061)	Loss 6.3956 (6.6299)	Prec@1 1.953 (1.315)	Prec@5 4.688 (4.697)
Epoch: [0][1000/5005]	Time 0.045 (0.116)	Data 0.000 (0.062)	Loss 6.4174 (6.6104)	Prec@1 2.344 (1.399)	Prec@5 8.984 (4.927)
Epoch: [0][1100/5005]	Time 0.056 (0.115)	Data 0.000 (0.061)	Loss 6.3447 (6.5921)	Prec@1 1.953 (1.476)	Prec@5 9.375 (5.138)
Epoch: [0][1200/5005]	Time 0.063 (0.115)	Data 0.000 (0.061)	Loss 6.4345 (6.5751)	Prec@1 2.344 (1.547)	Prec@5 5.469 (5.346)
Epoch: [0][1300/5005]	Time 0.045 (0.115)	Data 0.000 (0.061)	Loss 6.4507 (6.5595)	Prec@1 3.906 (1.612)	Prec@5 7.812 (5.510)
Epoch: [0][1400/5005]	Time 0.045 (0.114)	Data 0.000 (0.061)	Loss 6.3156 (6.5451)	Prec@1 2.734 (1.679)	Prec@5 8.984 (5.669)
Epoch: [0][1500/5005]	Time 0.051 (0.115)	Data 0.002 (0.062)	Loss 6.3565 (6.5313)	Prec@1 1.953 (1.735)	Prec@5 7.422 (5.834)
Epoch: [0][1600/5005]	Time 0.045 (0.115)	Data 0.000 (0.062)	Loss 6.2498 (6.5188)	Prec@1 4.297 (1.779)	Prec@5 11.328 (5.959)
Epoch: [0][1700/5005]	Time 0.045 (0.114)	Data 0.001 (0.062)	Loss 6.3849 (6.5060)	Prec@1 0.391 (1.831)	Prec@5 6.250 (6.101)
Epoch: [0][1800/5005]	Time 0.045 (0.114)	Data 0.000 (0.062)	Loss 6.2903 (6.4943)	Prec@1 2.734 (1.884)	Prec@5 8.984 (6.232)
