=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_2/checkpoint_dc2_epoch49.pth.tar'
Loaded
Epoch: [0][0/5005]	Time 5.023 (5.023)	Data 3.209 (3.209)	Loss 6.9081 (6.9081)	Prec@1 0.391 (0.391)	Prec@5 1.172 (1.172)
Epoch: [0][100/5005]	Time 0.045 (0.178)	Data 0.000 (0.115)	Loss 6.8972 (6.9008)	Prec@1 0.391 (0.321)	Prec@5 1.172 (1.226)
Epoch: [0][200/5005]	Time 0.072 (0.168)	Data 0.000 (0.113)	Loss 6.8727 (6.8923)	Prec@1 0.391 (0.562)	Prec@5 3.125 (2.035)
Epoch: [0][300/5005]	Time 0.045 (0.158)	Data 0.000 (0.106)	Loss 6.8588 (6.8837)	Prec@1 0.781 (0.703)	Prec@5 2.344 (2.566)
Epoch: [0][400/5005]	Time 0.051 (0.157)	Data 0.000 (0.105)	Loss 6.8433 (6.8754)	Prec@1 1.953 (0.824)	Prec@5 5.859 (2.975)
Epoch: [0][500/5005]	Time 0.045 (0.153)	Data 0.000 (0.102)	Loss 6.8267 (6.8671)	Prec@1 1.953 (0.971)	Prec@5 4.688 (3.328)
Epoch: [0][600/5005]	Time 0.064 (0.154)	Data 0.000 (0.104)	Loss 6.8143 (6.8590)	Prec@1 2.344 (1.078)	Prec@5 5.859 (3.604)
Epoch: [0][700/5005]	Time 0.045 (0.152)	Data 0.000 (0.102)	Loss 6.7863 (6.8511)	Prec@1 1.953 (1.142)	Prec@5 5.859 (3.849)
Epoch: [0][800/5005]	Time 0.053 (0.152)	Data 0.000 (0.102)	Loss 6.7658 (6.8429)	Prec@1 3.516 (1.245)	Prec@5 5.078 (4.116)
Epoch: [0][900/5005]	Time 0.373 (0.152)	Data 0.328 (0.102)	Loss 6.7519 (6.8350)	Prec@1 0.781 (1.313)	Prec@5 10.156 (4.364)
Epoch: [0][1000/5005]	Time 0.058 (0.151)	Data 0.000 (0.102)	Loss 6.7621 (6.8272)	Prec@1 1.562 (1.402)	Prec@5 5.469 (4.594)
Epoch: [0][1100/5005]	Time 0.797 (0.151)	Data 0.753 (0.101)	Loss 6.7398 (6.8195)	Prec@1 3.906 (1.462)	Prec@5 8.984 (4.799)
Epoch: [0][1200/5005]	Time 0.065 (0.151)	Data 0.010 (0.101)	Loss 6.7432 (6.8121)	Prec@1 1.562 (1.515)	Prec@5 8.203 (4.955)
Epoch: [0][1300/5005]	Time 0.722 (0.151)	Data 0.678 (0.102)	Loss 6.7155 (6.8048)	Prec@1 1.953 (1.555)	Prec@5 7.031 (5.096)
Epoch: [0][1400/5005]	Time 0.051 (0.150)	Data 0.001 (0.101)	Loss 6.6893 (6.7975)	Prec@1 1.953 (1.614)	Prec@5 7.812 (5.245)
Epoch: [0][1500/5005]	Time 0.472 (0.150)	Data 0.428 (0.101)	Loss 6.6914 (6.7903)	Prec@1 2.344 (1.662)	Prec@5 7.422 (5.389)
Epoch: [0][1600/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.6757 (6.7834)	Prec@1 2.344 (1.694)	Prec@5 5.859 (5.514)
Epoch: [0][1700/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.6794 (6.7765)	Prec@1 1.562 (1.738)	Prec@5 7.031 (5.645)
Epoch: [0][1800/5005]	Time 0.851 (0.150)	Data 0.806 (0.101)	Loss 6.6596 (6.7696)	Prec@1 2.344 (1.784)	Prec@5 10.156 (5.784)
Epoch: [0][1900/5005]	Time 0.061 (0.150)	Data 0.000 (0.101)	Loss 6.6555 (6.7629)	Prec@1 2.344 (1.815)	Prec@5 8.203 (5.888)
Epoch: [0][2000/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.6014 (6.7561)	Prec@1 3.125 (1.848)	Prec@5 9.766 (6.006)
Epoch: [0][2100/5005]	Time 0.050 (0.149)	Data 0.000 (0.101)	Loss 6.6333 (6.7493)	Prec@1 1.953 (1.893)	Prec@5 7.812 (6.126)
Epoch: [0][2200/5005]	Time 0.860 (0.150)	Data 0.816 (0.101)	Loss 6.5900 (6.7426)	Prec@1 3.516 (1.925)	Prec@5 8.984 (6.233)
Epoch: [0][2300/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.5415 (6.7360)	Prec@1 2.344 (1.961)	Prec@5 8.203 (6.339)
Epoch: [0][2400/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.5412 (6.7295)	Prec@1 3.906 (1.998)	Prec@5 11.328 (6.436)
Epoch: [0][2500/5005]	Time 0.052 (0.149)	Data 0.001 (0.101)	Loss 6.5523 (6.7233)	Prec@1 1.562 (2.032)	Prec@5 8.203 (6.529)
Epoch: [0][2600/5005]	Time 0.049 (0.150)	Data 0.000 (0.101)	Loss 6.5408 (6.7169)	Prec@1 3.906 (2.063)	Prec@5 11.719 (6.626)
Epoch: [0][2700/5005]	Time 0.051 (0.149)	Data 0.000 (0.101)	Loss 6.5088 (6.7108)	Prec@1 3.125 (2.093)	Prec@5 8.984 (6.706)
Epoch: [0][2800/5005]	Time 0.046 (0.149)	Data 0.000 (0.101)	Loss 6.5105 (6.7048)	Prec@1 3.125 (2.117)	Prec@5 13.281 (6.783)
Epoch: [0][2900/5005]	Time 0.045 (0.149)	Data 0.001 (0.101)	Loss 6.5132 (6.6987)	Prec@1 1.562 (2.140)	Prec@5 8.594 (6.863)
Epoch: [0][3000/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.5082 (6.6928)	Prec@1 2.734 (2.160)	Prec@5 7.812 (6.938)
Epoch: [0][3100/5005]	Time 1.614 (0.150)	Data 1.570 (0.101)	Loss 6.5335 (6.6868)	Prec@1 3.906 (2.189)	Prec@5 10.156 (7.019)
Epoch: [0][3200/5005]	Time 0.045 (0.149)	Data 0.001 (0.101)	Loss 6.5047 (6.6812)	Prec@1 5.859 (2.213)	Prec@5 10.547 (7.091)
Epoch: [0][3300/5005]	Time 0.047 (0.150)	Data 0.000 (0.101)	Loss 6.5142 (6.6753)	Prec@1 3.516 (2.238)	Prec@5 10.156 (7.168)
Epoch: [0][3400/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.4669 (6.6695)	Prec@1 5.859 (2.261)	Prec@5 13.281 (7.243)
Epoch: [0][3500/5005]	Time 0.054 (0.150)	Data 0.000 (0.101)	Loss 6.5128 (6.6639)	Prec@1 2.734 (2.285)	Prec@5 8.984 (7.311)
Epoch: [0][3600/5005]	Time 0.044 (0.149)	Data 0.000 (0.101)	Loss 6.4531 (6.6583)	Prec@1 3.125 (2.306)	Prec@5 9.375 (7.381)
Epoch: [0][3700/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.4225 (6.6529)	Prec@1 1.562 (2.326)	Prec@5 8.984 (7.447)
Epoch: [0][3800/5005]	Time 0.050 (0.149)	Data 0.000 (0.101)	Loss 6.4498 (6.6475)	Prec@1 2.734 (2.351)	Prec@5 10.547 (7.514)
Epoch: [0][3900/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.4576 (6.6420)	Prec@1 4.297 (2.374)	Prec@5 11.719 (7.581)
Epoch: [0][4000/5005]	Time 1.773 (0.150)	Data 1.726 (0.101)	Loss 6.3775 (6.6366)	Prec@1 2.734 (2.403)	Prec@5 13.281 (7.650)
Epoch: [0][4100/5005]	Time 0.052 (0.150)	Data 0.000 (0.101)	Loss 6.4338 (6.6313)	Prec@1 2.734 (2.427)	Prec@5 8.984 (7.718)
Epoch: [0][4200/5005]	Time 0.048 (0.150)	Data 0.000 (0.101)	Loss 6.3861 (6.6261)	Prec@1 3.516 (2.445)	Prec@5 11.719 (7.780)
Epoch: [0][4300/5005]	Time 0.112 (0.149)	Data 0.064 (0.101)	Loss 6.4146 (6.6208)	Prec@1 2.734 (2.473)	Prec@5 9.766 (7.852)
Epoch: [0][4400/5005]	Time 0.047 (0.150)	Data 0.000 (0.101)	Loss 6.3554 (6.6155)	Prec@1 5.078 (2.497)	Prec@5 13.281 (7.919)
Epoch: [0][4500/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.3869 (6.6107)	Prec@1 2.344 (2.514)	Prec@5 8.984 (7.974)
Epoch: [0][4600/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.4583 (6.6056)	Prec@1 1.562 (2.536)	Prec@5 8.203 (8.037)
Epoch: [0][4700/5005]	Time 0.051 (0.149)	Data 0.001 (0.101)	Loss 6.3591 (6.6007)	Prec@1 2.734 (2.555)	Prec@5 10.156 (8.091)
Epoch: [0][4800/5005]	Time 0.049 (0.150)	Data 0.001 (0.101)	Loss 6.4454 (6.5959)	Prec@1 2.344 (2.575)	Prec@5 6.641 (8.153)
