Architecture: alexnet
Load dataset: 5.14 s
Compute features
0 / 5005	Time: 37.542 (37.542)
1 / 5005	Time: 0.112 (18.827)
2 / 5005	Time: 0.041 (12.565)
3 / 5005	Time: 0.039 (9.434)
4 / 5005	Time: 0.039 (7.555)
5 / 5005	Time: 0.050 (6.304)
6 / 5005	Time: 0.039 (5.409)
7 / 5005	Time: 0.038 (4.737)
8 / 5005	Time: 0.038 (4.215)
9 / 5005	Time: 0.039 (3.798)
10 / 5005	Time: 0.038 (3.456)
11 / 5005	Time: 0.038 (3.171)
12 / 5005	Time: 0.038 (2.930)
13 / 5005	Time: 0.038 (2.723)
14 / 5005	Time: 0.038 (2.544)
15 / 5005	Time: 0.038 (2.388)
16 / 5005	Time: 0.038 (2.250)
17 / 5005	Time: 0.046 (2.127)
18 / 5005	Time: 0.049 (2.018)
19 / 5005	Time: 0.038 (1.919)
20 / 5005	Time: 0.042 (1.829)
21 / 5005	Time: 0.040 (1.748)
22 / 5005	Time: 0.073 (1.675)
23 / 5005	Time: 0.055 (1.608)
24 / 5005	Time: 0.057 (1.546)
25 / 5005	Time: 0.058 (1.488)
26 / 5005	Time: 0.070 (1.436)
27 / 5005	Time: 0.048 (1.386)
28 / 5005	Time: 0.051 (1.340)
29 / 5005	Time: 0.060 (1.298)
30 / 5005	Time: 0.045 (1.257)
31 / 5005	Time: 0.042 (1.219)
32 / 5005	Time: 0.049 (1.184)
33 / 5005	Time: 0.039 (1.150)
34 / 5005	Time: 0.057 (1.119)
35 / 5005	Time: 0.038 (1.089)
36 / 5005	Time: 0.087 (1.062)
37 / 5005	Time: 0.870 (1.057)
38 / 5005	Time: 0.368 (1.039)
39 / 5005	Time: 0.076 (1.015)
40 / 5005	Time: 0.067 (0.992)
41 / 5005	Time: 0.210 (0.973)
42 / 5005	Time: 0.077 (0.952)
43 / 5005	Time: 0.073 (0.932)
44 / 5005	Time: 0.044 (0.913)
45 / 5005	Time: 0.059 (0.894)
46 / 5005	Time: 0.058 (0.876)
47 / 5005	Time: 0.075 (0.860)
48 / 5005	Time: 0.044 (0.843)
49 / 5005	Time: 0.039 (0.827)
50 / 5005	Time: 0.044 (0.812)
51 / 5005	Time: 0.040 (0.797)
52 / 5005	Time: 0.051 (0.783)
53 / 5005	Time: 0.038 (0.769)
54 / 5005	Time: 0.048 (0.756)
55 / 5005	Time: 0.936 (0.759)
56 / 5005	Time: 0.512 (0.755)
57 / 5005	Time: 0.042 (0.742)
58 / 5005	Time: 0.051 (0.731)
59 / 5005	Time: 0.175 (0.721)
60 / 5005	Time: 0.046 (0.710)
61 / 5005	Time: 0.060 (0.700)
62 / 5005	Time: 0.145 (0.691)
63 / 5005	Time: 0.273 (0.684)
64 / 5005	Time: 0.038 (0.675)
65 / 5005	Time: 0.044 (0.665)
66 / 5005	Time: 0.048 (0.656)
67 / 5005	Time: 0.045 (0.647)
68 / 5005	Time: 0.042 (0.638)
69 / 5005	Time: 0.052 (0.630)
70 / 5005	Time: 0.044 (0.621)
71 / 5005	Time: 0.051 (0.613)
72 / 5005	Time: 0.043 (0.606)
73 / 5005	Time: 0.964 (0.611)
74 / 5005	Time: 0.516 (0.609)
75 / 5005	Time: 0.055 (0.602)
76 / 5005	Time: 0.089 (0.595)
77 / 5005	Time: 0.076 (0.589)
78 / 5005	Time: 0.052 (0.582)
79 / 5005	Time: 0.235 (0.578)
80 / 5005	Time: 0.067 (0.571)
81 / 5005	Time: 0.060 (0.565)
82 / 5005	Time: 0.058 (0.559)
83 / 5005	Time: 0.072 (0.553)
84 / 5005	Time: 0.042 (0.547)
85 / 5005	Time: 0.064 (0.541)
86 / 5005	Time: 0.063 (0.536)
87 / 5005	Time: 0.047 (0.530)
88 / 5005	Time: 0.040 (0.525)
89 / 5005	Time: 0.048 (0.520)
90 / 5005	Time: 0.038 (0.514)
91 / 5005	Time: 0.958 (0.519)
92 / 5005	Time: 0.645 (0.520)
93 / 5005	Time: 0.046 (0.515)
94 / 5005	Time: 0.058 (0.511)
95 / 5005	Time: 0.062 (0.506)
96 / 5005	Time: 0.042 (0.501)
97 / 5005	Time: 0.140 (0.497)
98 / 5005	Time: 0.057 (0.493)
99 / 5005	Time: 0.155 (0.490)
100 / 5005	Time: 0.079 (0.486)
101 / 5005	Time: 0.074 (0.482)
102 / 5005	Time: 0.046 (0.477)
103 / 5005	Time: 0.053 (0.473)
104 / 5005	Time: 0.044 (0.469)
105 / 5005	Time: 0.047 (0.465)
106 / 5005	Time: 0.059 (0.461)
107 / 5005	Time: 0.064 (0.458)
108 / 5005	Time: 0.060 (0.454)
109 / 5005	Time: 0.672 (0.456)
110 / 5005	Time: 0.838 (0.459)
111 / 5005	Time: 0.055 (0.456)
112 / 5005	Time: 0.075 (0.453)
113 / 5005	Time: 0.054 (0.449)
114 / 5005	Time: 0.067 (0.446)
115 / 5005	Time: 0.057 (0.442)
116 / 5005	Time: 0.060 (0.439)
117 / 5005	Time: 0.071 (0.436)
118 / 5005	Time: 0.041 (0.433)
119 / 5005	Time: 0.041 (0.429)
120 / 5005	Time: 0.058 (0.426)
121 / 5005	Time: 0.042 (0.423)
122 / 5005	Time: 0.060 (0.420)
123 / 5005	Time: 0.048 (0.417)
124 / 5005	Time: 0.047 (0.414)
125 / 5005	Time: 0.056 (0.411)
126 / 5005	Time: 0.045 (0.409)
127 / 5005	Time: 1.315 (0.416)
128 / 5005	Time: 0.990 (0.420)
129 / 5005	Time: 0.041 (0.417)
130 / 5005	Time: 0.040 (0.414)
131 / 5005	Time: 0.041 (0.411)
132 / 5005	Time: 0.038 (0.409)
133 / 5005	Time: 0.048 (0.406)
134 / 5005	Time: 0.038 (0.403)
135 / 5005	Time: 0.044 (0.401)
136 / 5005	Time: 0.071 (0.398)
137 / 5005	Time: 0.054 (0.396)
138 / 5005	Time: 0.038 (0.393)
139 / 5005	Time: 0.049 (0.391)
140 / 5005	Time: 0.069 (0.388)
141 / 5005	Time: 0.054 (0.386)
142 / 5005	Time: 0.040 (0.384)
143 / 5005	Time: 0.038 (0.381)
144 / 5005	Time: 0.068 (0.379)
145 / 5005	Time: 0.787 (0.382)
146 / 5005	Time: 0.867 (0.385)
147 / 5005	Time: 0.057 (0.383)
148 / 5005	Time: 0.055 (0.381)
149 / 5005	Time: 0.073 (0.379)
150 / 5005	Time: 0.038 (0.376)
151 / 5005	Time: 0.074 (0.374)
152 / 5005	Time: 0.063 (0.372)
153 / 5005	Time: 0.218 (0.371)
154 / 5005	Time: 0.045 (0.369)
155 / 5005	Time: 0.038 (0.367)
156 / 5005	Time: 0.040 (0.365)
157 / 5005	Time: 0.047 (0.363)
158 / 5005	Time: 0.042 (0.361)
159 / 5005	Time: 0.040 (0.359)
160 / 5005	Time: 0.042 (0.357)
161 / 5005	Time: 0.061 (0.355)
162 / 5005	Time: 0.079 (0.354)
163 / 5005	Time: 0.773 (0.356)
164 / 5005	Time: 1.210 (0.361)
165 / 5005	Time: 0.066 (0.359)
166 / 5005	Time: 0.093 (0.358)
167 / 5005	Time: 0.082 (0.356)
168 / 5005	Time: 0.083 (0.355)
169 / 5005	Time: 0.045 (0.353)
170 / 5005	Time: 0.069 (0.351)
171 / 5005	Time: 0.039 (0.349)
172 / 5005	Time: 0.040 (0.348)
173 / 5005	Time: 0.042 (0.346)
174 / 5005	Time: 0.041 (0.344)
175 / 5005	Time: 0.044 (0.342)
176 / 5005	Time: 0.039 (0.341)
177 / 5005	Time: 0.038 (0.339)
178 / 5005	Time: 0.046 (0.337)
179 / 5005	Time: 0.043 (0.336)
180 / 5005	Time: 0.039 (0.334)
181 / 5005	Time: 0.728 (0.336)
182 / 5005	Time: 1.318 (0.342)
183 / 5005	Time: 0.076 (0.340)
184 / 5005	Time: 0.063 (0.339)
185 / 5005	Time: 0.049 (0.337)
186 / 5005	Time: 0.151 (0.336)
187 / 5005	Time: 0.052 (0.335)
188 / 5005	Time: 1.169 (0.339)
189 / 5005	Time: 0.045 (0.337)
190 / 5005	Time: 0.039 (0.336)
191 / 5005	Time: 0.076 (0.334)
192 / 5005	Time: 0.055 (0.333)
193 / 5005	Time: 0.062 (0.332)
194 / 5005	Time: 0.039 (0.330)
195 / 5005	Time: 0.050 (0.329)
196 / 5005	Time: 0.046 (0.327)
197 / 5005	Time: 0.051 (0.326)
198 / 5005	Time: 0.058 (0.325)
199 / 5005	Time: 0.090 (0.323)
200 / 5005	Time: 0.836 (0.326)
201 / 5005	Time: 0.076 (0.325)
202 / 5005	Time: 0.052 (0.323)
203 / 5005	Time: 0.047 (0.322)
204 / 5005	Time: 0.048 (0.321)
205 / 5005	Time: 0.040 (0.319)
