/home/annatruzzi/deepcluster_eval/dc_3/checkpoint26
=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_3/checkpoint_dc3_epoch26.pth.tar'
Loaded
Epoch: [0][0/5005]	Time 5.774 (5.774)	Data 3.791 (3.791)	Loss 6.9089 (6.9089)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [0][100/5005]	Time 0.054 (0.152)	Data 0.000 (0.083)	Loss 6.8148 (6.8636)	Prec@1 2.344 (0.886)	Prec@5 5.859 (3.052)
Epoch: [0][200/5005]	Time 0.046 (0.133)	Data 0.000 (0.074)	Loss 6.6771 (6.8078)	Prec@1 2.734 (1.759)	Prec@5 9.375 (5.754)
Epoch: [0][300/5005]	Time 0.046 (0.129)	Data 0.001 (0.073)	Loss 6.6270 (6.7542)	Prec@1 2.734 (2.426)	Prec@5 9.766 (7.645)
Epoch: [0][400/5005]	Time 0.050 (0.123)	Data 0.000 (0.069)	Loss 6.4788 (6.7011)	Prec@1 7.031 (2.972)	Prec@5 18.359 (9.016)
Epoch: [0][500/5005]	Time 0.050 (0.121)	Data 0.000 (0.068)	Loss 6.4242 (6.6529)	Prec@1 6.641 (3.409)	Prec@5 15.234 (10.086)
Epoch: [0][600/5005]	Time 0.048 (0.119)	Data 0.001 (0.066)	Loss 6.3689 (6.6063)	Prec@1 7.031 (3.807)	Prec@5 20.703 (11.114)
Epoch: [0][700/5005]	Time 0.393 (0.120)	Data 0.347 (0.068)	Loss 6.2243 (6.5618)	Prec@1 7.812 (4.134)	Prec@5 16.016 (11.971)
Epoch: [0][800/5005]	Time 0.049 (0.119)	Data 0.000 (0.067)	Loss 6.1439 (6.5185)	Prec@1 7.031 (4.429)	Prec@5 18.359 (12.768)
Epoch: [0][900/5005]	Time 0.697 (0.118)	Data 0.651 (0.067)	Loss 6.1259 (6.4777)	Prec@1 5.078 (4.752)	Prec@5 16.016 (13.503)
Epoch: [0][1000/5005]	Time 0.048 (0.118)	Data 0.000 (0.066)	Loss 6.0684 (6.4381)	Prec@1 10.547 (5.062)	Prec@5 19.531 (14.155)
Epoch: [0][1100/5005]	Time 0.057 (0.117)	Data 0.000 (0.066)	Loss 6.0087 (6.4001)	Prec@1 8.594 (5.348)	Prec@5 20.312 (14.740)
Epoch: [0][1200/5005]	Time 0.290 (0.117)	Data 0.244 (0.065)	Loss 5.9182 (6.3631)	Prec@1 9.375 (5.606)	Prec@5 22.656 (15.305)
Epoch: [0][1300/5005]	Time 0.062 (0.117)	Data 0.000 (0.065)	Loss 5.8822 (6.3291)	Prec@1 8.203 (5.826)	Prec@5 21.094 (15.752)
Epoch: [0][1400/5005]	Time 0.047 (0.116)	Data 0.000 (0.065)	Loss 5.8661 (6.2961)	Prec@1 6.641 (6.057)	Prec@5 19.922 (16.202)
Epoch: [0][1500/5005]	Time 0.726 (0.117)	Data 0.678 (0.065)	Loss 5.7888 (6.2638)	Prec@1 8.203 (6.291)	Prec@5 25.000 (16.679)
Epoch: [0][1600/5005]	Time 0.047 (0.116)	Data 0.000 (0.065)	Loss 5.6897 (6.2331)	Prec@1 12.500 (6.491)	Prec@5 28.906 (17.095)
Epoch: [0][1700/5005]	Time 0.052 (0.116)	Data 0.000 (0.065)	Loss 5.7740 (6.2029)	Prec@1 7.812 (6.706)	Prec@5 22.266 (17.511)
Epoch: [0][1800/5005]	Time 0.058 (0.116)	Data 0.000 (0.065)	Loss 5.6956 (6.1746)	Prec@1 9.375 (6.891)	Prec@5 23.047 (17.865)
Epoch: [0][1900/5005]	Time 0.110 (0.116)	Data 0.064 (0.065)	Loss 5.6330 (6.1470)	Prec@1 10.547 (7.055)	Prec@5 24.609 (18.212)
Epoch: [0][2000/5005]	Time 0.052 (0.116)	Data 0.000 (0.064)	Loss 5.5410 (6.1200)	Prec@1 10.938 (7.232)	Prec@5 25.391 (18.559)
Epoch: [0][2100/5005]	Time 1.165 (0.116)	Data 1.119 (0.065)	Loss 5.5745 (6.0941)	Prec@1 8.984 (7.390)	Prec@5 24.219 (18.885)
Epoch: [0][2200/5005]	Time 0.047 (0.116)	Data 0.000 (0.065)	Loss 5.5137 (6.0697)	Prec@1 12.109 (7.530)	Prec@5 28.516 (19.156)
Epoch: [0][2300/5005]	Time 0.047 (0.116)	Data 0.000 (0.065)	Loss 5.5461 (6.0458)	Prec@1 10.938 (7.687)	Prec@5 25.781 (19.422)
Epoch: [0][2400/5005]	Time 0.050 (0.116)	Data 0.000 (0.065)	Loss 5.3785 (6.0228)	Prec@1 10.156 (7.827)	Prec@5 25.000 (19.697)
Epoch: [0][2500/5005]	Time 0.052 (0.115)	Data 0.000 (0.064)	Loss 5.4969 (6.0005)	Prec@1 10.938 (7.979)	Prec@5 23.047 (19.963)
Epoch: [0][2600/5005]	Time 0.049 (0.115)	Data 0.000 (0.064)	Loss 5.4601 (5.9785)	Prec@1 12.891 (8.127)	Prec@5 25.391 (20.232)
Epoch: [0][2700/5005]	Time 1.583 (0.116)	Data 1.536 (0.065)	Loss 5.3072 (5.9572)	Prec@1 8.984 (8.262)	Prec@5 28.516 (20.483)
Epoch: [0][2800/5005]	Time 0.054 (0.116)	Data 0.001 (0.065)	Loss 5.2776 (5.9361)	Prec@1 12.891 (8.393)	Prec@5 31.250 (20.730)
